case,moto,tric
Low Battery,2,2
No Ride Photo,2,2
No Rides Today,2,2
Not Updating,3,3
Out Of Fence,3,3
Unlocked Without Ride,3,3
Vehicle Battery Unlocked,2,2
Vehicle Malfunction,2,2
